job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/digital-graphic-designer-barcelona/adobe-creative-suite-after-effects-phot/rf-85421fc2c27083559e45;;Page Personnel;['Adobe Creative Suite', 'After Effects', 'Photoshop'];Perfil buscado (Hombre/Mujer)• Diseño y Creación audiovisual : Crear y editar audiovisuales para redes sociales junto al equipo creativo y de diseño• Motion ...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/analista-programador-natural-adabas-remoto/natural-adabas/rf-ac041997327273117b48;;Krell Consulting & Training;['natural', 'adabas'];KRELL Consulting, selecciona para contratar, un/a Analista programador/a Natural Adabas, para trabajar en importante proyecto y siguientes características:-Perfil: Analista...;03/08/2024;remoto;;;;2024-08-04
https://www.tecnoempleo.com/aws-engineer-hibrido/aws-terraform-ansible/rf-08a7157de22503cc0b4f;;Serem;['aws', 'Terraform', 'Ansible'];En serem estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en la búsqueda de un/una AWS Engineer para ...;03/08/2024;Híbrido;;;;2024-08-04
https://www.tecnoempleo.com/consultor-oracle-apex-madrid/oracle-apex-javascript-pl-sql/rf-71501b07c207838d1744;;Krell Consulting & Training;['oracle', 'APEX', 'javascript'];Nos encontramos en la búsqueda de un/a Consultor/a para trabajar con importante cliente en contratación inicial con KRELL.DESCRIPCION Y FUNCIOMESSe requiere consultor/a ...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/practicas-extracurriculares-madrid/excel-email-marketing-seo-google-ads-me/rf-9b321a9982a7a3e70d4d;;Agencia Europea de Comunicación Visual;['Excel', 'email marketing', 'SEO'];Buscamos una persona especializada en el desarrollo y ejecución de estrategias de marketing para mejorar la presencia de empresas en internet...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/arquitecto-sap-cx-remoto/sap-sap-cx/rf-98cd143ee28b93c08b4f;;Krell Consulting & Training;['sap', 'SAP CX'];En Krell-consulting nos encontramos en la búsqueda de un Arquitecto SAP CX con experiencia en el área. Buscamos a un profesional altamente calificado y orientado a ...;03/08/2024;remoto;;;;2024-08-04
https://www.tecnoempleo.com/ingeniero-datos-cloud-azure-remoto/cloud-azure-etl-data-factory-synapse-da/rf-bd8d1daae237739e5345;;Krell Consulting & Training;['cloud', 'azure', 'ETL'];¿Eres un apasionado de los datos y te encanta trabajar con tecnologías en la nube? ¡Estamos buscando un Ingeniero de Datos Cloud Azure para unirse a nuestro equipo! Si ...;03/08/2024;remoto;;30000;36000;2024-08-04
https://www.tecnoempleo.com/ingeniero-datos-con-spark-scala-hibrido/spark-scala-ci-cd-python-git-jenki/rf-5ec010f422ac3348f64f;;Krell Consulting & Training;['Spark', 'Scala', 'CI/CD'];Ingeniero/a de Datos con Spark/ScalaProyecto indefinido.Modalidad de trabajo híbrida con 2 días de TeletrabajoSalario hasta 34K (acorde a experiencia)Responsabilidades...;03/08/2024;Híbrido;;33000;36000;2024-08-04
https://www.tecnoempleo.com/ingeniero-datos-databricks-remoto/databricks-azure-ci-cd-python-pyspark-sc/rf-643217c7f243937dc24c;;Krell Consulting & Training;['Databricks', 'Azure', 'CI/CD'];Estamos buscando un Ingeniero de Datos altamente calificado, especializado en el modelado y procesamiento de datos. Si tienes una amplia experiencia en Databricks y ...;03/08/2024;remoto;;42000;45000;2024-08-04
https://www.tecnoempleo.com/administrador-sistemas-openshift-presencial/openshift-devops/rf-d1ef14b57239431f0d4b;;Krell Consulting & Training;['openshift', 'DevOps'];Administración de Sistemas OpenshiftProyecto de duración IndefinidaModalidad de trabajo Presencial en El EscorialSalario de hasta 35.000€ brutos en función de la ...;03/08/2024;;;33000;36000;2024-08-04
https://www.tecnoempleo.com/programador-geolocalizacion-remoto/gis-arcgis-arcgis-server/rf-996d151172d763788948;;Krell Consulting & Training;['GIS', 'ARCGIS', 'ARCGIS SERVER'];Estamos buscando un Programador con Experiencia en Geolocalización para unirse a nuestro equipo. El candidato ideal se encargará del servicio de mantenimiento evolutivo y ...;03/08/2024;remoto;;36000;42000;2024-08-04
https://www.tecnoempleo.com/ingeniero-datos-aws-hibrido/aws-snowflake-python-etl/rf-afbc16ab32f6a37ac648;;Krell Consulting & Training;['aws', 'snowflake', 'python'];"Ingeniero de Datos AWSProyecto de duración indefinidaModalidad de trabajo híbrida desde Barcelona (presencialidad de 2 a 3 días por semana en oficinas en Viladecans; se ...";03/08/2024;Híbrido;;27000;33000;2024-08-04
https://www.tecnoempleo.com/ingeniero-sw-spark-scala-remoto/spark-scala-aws-ci-cd-apigee/rf-9bb01a38a22fa3791a40;;Krell Consulting & Training;['spark', 'scala', 'AWS'];Ingeniero de Software con Experiencia en Spark Scala y AWS CloudUbicación: 100% teletrabajoNivel de inglés: C1Asignación de larga duración.Descripción del puesto:...;03/08/2024;remoto;;36000;45000;2024-08-04
https://www.tecnoempleo.com/programador-mercado-capitales-remoto/forex-fx-core/rf-933a1c5af2232304aa41;;Krell Consulting & Training;['Forex', 'FX', 'Core'];Programador con Experiencia en Mercado de CapitalesAsignación de duración Indefinida100% TeletrabajoSalario en la banda de 43-45.000€ brutos en función de la ...;03/08/2024;remoto;;42000;45000;2024-08-04
https://www.tecnoempleo.com/technical-lead-backend-remoto/java-spring-boot-restful-api-bbdd-relacional/rf-46f01581d275c3de9447;;Krell Consulting & Training;['Java', 'Spring boot', 'Restful API'];Estamos en búsqueda de un Ingeniero de Software experto para la posición de Technical Lead Backend. Esta persona será responsable del roadmap técnico y su entrega, ...;03/08/2024;remoto;;36000;42000;2024-08-04
https://www.tecnoempleo.com/planificador-explotacion-con-control-m-presencial/control-m/rf-fb1c16579276d33cdb45;;Zaidan IT Consulting;['Control M'];Para trabajar en importante cliente del sector tecnologico en Madrid, se requiere:Descripción del Puesto:Estamos en búsqueda de un Planificador de Explotación con amplio...;03/08/2024;;;36000;39000;2024-08-04
https://www.tecnoempleo.com/analista-pro-cobol-cics-db2-jcl-madrid/cobol-cics-db2/rf-774214cae263e3a1b849;;Incoming Domain;['cobol', 'cics', 'db2'];TELETRABAJO para Desarrolladores (AF, AT, AP, PS) en alguna de las siguientes OFERTAS.OFERTAS ACTIVAS (*) : * MIGRACION / * CORE BANKING / * HOST / * MIGRACION  : COBOL, ...;03/08/2024;;;21000;30000;2024-08-04
